point,sr1,asr1,sr2,asr2,sr3,asr3,sr4,asr4
41,60010,59780,59990,59746,44084,44875,43323,44412
42,60013,59766,59980,59728,44081,44860,43317,44394
43,60012,59767,59976,59742,44081,44864,43316,44389
44,60007,59753,59968,59746,44072,44855,43322,44382
45,60008,59748,59975,59742,44077,44859,43320,44386
46,59992,59730,59959,59734,44055,44867,43318,44350
47,59987,59738,59960,59746,44058,44882,43300,44341
48,59978,59724,59945,59720,44047,44850,43299,44337
49,59975,59718,59938,59699,44060,44841,43292,44350
50,59982,59707,59935,59694,44048,44828,43289,44363
51,59966,59713,59952,59694,44039,44823,43306,44344
52,59971,59711,59951,59708,44036,44818,43286,44338
53,59969,59706,59945,59679,44044,44824,43282,44337
54,59957,59683,59933,59666,44036,44822,43265,44327
55,59939,59684,59908,59669,44010,44834,43253,44329
56,59907,59691,59897,59652,43999,44822,43247,44297
57,59911,59673,59885,59629,43981,44779,43232,44261
58,59895,59636,59878,59592,43967,44751,43202,44251
59,59881,59631,59872,59596,43961,44751,43201,44281
60,59872,59625,59852,59601,43952,44746,43184,44277
61,59870,59617,59836,59576,43941,44714,43184,44249
62,59851,59599,59822,59575,43933,44703,43175,44239
63,59863,59605,59814,59596,43932,44715,43171,44224
64,59853,59610,59818,59611,43922,44700,43172,44201
65,59839,59595,59822,59598,43920,44708,43175,44187
66,59839,59592,59818,59578,43918,44716,43167,44180
67,59842,59589,59808,59583,43899,44700,43163,44211
68,59830,59589,59795,59575,43908,44684,43155,44208
69,59827,59578,59791,59562,43902,44676,43142,44214
70,59819,59563,59806,59540,43897,44696,43148,44209
71,59832,59579,59816,59550,43905,44692,43153,44220
72,59832,59593,59804,59564,43905,44684,43151,44233
73,59849,59587,59830,59573,43912,44708,43165,44212
74,59873,59585,59840,59567,43938,44703,43167,44200
75,59884,59595,59841,59585,43937,44691,43162,44206
76,59860,59617,59821,59587,43918,44705,43156,44188
77,59846,59599,59809,59571,43929,44700,43152,44170
78,59849,59569,59812,59551,43911,44673,43143,44193
79,59834,59575,59799,59539,43907,44684,43143,44176
80,59817,59550,59771,59527,43890,44653,43129,44157
81,59798,59525,59767,59507,43879,44622,43125,44145
82,59819,59511,59787,59493,43880,44632,43110,44134
83,59823,59531,59790,59511,43884,44639,43123,44149
84,59809,59539,59792,59524,43882,44637,43123,44171
85,59807,59518,59792,59514,43885,44627,43132,44168
86,59812,59505,59789,59483,43887,44620,43123,44169
87,59816,59533,59789,59498,43882,44645,43134,44172
88,59817,59543,59780,59506,43883,44635,43121,44156
89,59825,59551,59782,59518,43907,44649,43137,44159
90,59816,59542,59798,59541,43904,44641,43141,44167
91,59837,59547,59796,59562,43905,44670,43158,44169
92,59822,59548,59800,59550,43896,44685,43146,44166
93,59815,59561,59794,59519,43887,44696,43143,44155
94,59814,59549,59793,59519,43894,44646,43143,44156
95,59804,59548,59794,59504,43893,44643,43123,44137
96,59789,59516,59767,59503,43856,44643,43109,44125
97,59785,59495,59763,59489,43851,44639,43107,44125
98,59783,59500,59762,59495,43855,44630,43116,44118
99,59795,59511,59757,59510,43864,44635,43109,44134
100,59770,59515,59752,59496,43853,44628,43087,44144
101,59773,59520,59743,59480,43873,44610,43100,44131
102,59765,59500,59743,59459,43871,44604,43098,44109
103,59766,59500,59761,59472,43862,44622,43102,44110
104,59794,59502,59761,59478,43861,44626,43104,44114
105,59790,59511,59774,59491,43867,44625,43103,44114
106,59782,59510,59762,59498,43870,44614,43098,44130
107,59782,59524,59761,59504,43866,44636,43100,44156
108,59793,59512,59758,59502,43874,44636,43120,44149
109,59794,59521,59766,59506,43876,44630,43113,44145
110,59807,59515,59776,59480,43876,44620,43104,44151
111,59820,59537,59787,59498,43897,44614,43124,44174
112,59815,59541,59778,59512,43894,44626,43127,44183
113,59825,59547,59790,59528,43891,44644,43136,44170
114,59824,59545,59794,59521,43902,44645,43147,44154
115,59834,59561,59802,59530,43909,44672,43146,44181
116,59841,59556,59805,59518,43905,44677,43138,44172
117,59844,59543,59808,59498,43898,44659,43140,44164
118,59831,59526,59802,59482,43887,44620,43136,44164
119,59826,59522,59780,59502,43888,44613,43119,44139
120,59785,59515,59748,59491,43858,44612,43089,44127
121,59769,59507,59744,59476,43842,44614,43083,44098
122,59758,59483,59747,59446,43838,44601,43072,44074
123,59764,59484,59734,59442,43826,44599,43067,44084
124,59744,59485,59726,59425,43826,44586,43060,44094
125,59746,59477,59719,59416,43830,44565,43059,44064
126,59744,59447,59706,59419,43806,44554,43054,44057
127,59739,59444,59706,59431,43806,44558,43071,44065
128,59742,59441,59708,59446,43829,44546,43071,44080
129,59755,59467,59717,59442,43834,44561,43064,44086
130,59754,59464,59722,59443,43837,44591,43066,44088
131,59749,59467,59735,59430,43820,44588,43060,44099
132,59739,59449,59723,59434,43804,44585,43065,44093
133,59737,59430,59713,59423,43806,44569,43061,44088
134,59740,59430,59713,59407,43809,44570,43050,44074
135,59744,59454,59707,59416,43819,44573,43048,44085
136,59733,59456,59694,59434,43807,44578,43048,44082
137,59734,59434,59708,59431,43813,44559,43055,44060
138,59733,59428,59712,59427,43812,44561,43054,44060
139,59719,59433,59703,59420,43807,44561,43048,44054
140,59696,59415,59690,59420,43789,44540,43036,44038
141,59700,59406,59689,59399,43779,44518,43041,44021
142,59704,59423,59681,59365,43780,44519,43020,44032
143,59707,59432,59684,59377,43780,44527,43030,44060
144,59707,59426,59680,59392,43782,44517,43023,44064
145,59711,59404,59687,59391,43765,44492,43012,44037
146,59695,59362,59680,59351,43761,44470,43008,43989
147,59688,59300,59661,59283,43761,44414,42998,43892
148,59680,59144,59655,59098,43762,44232,42996,43715
149,59704,58857,59680,58818,43778,43926,43011,43426
150,59764,58587,59754,58590,43859,43681,43072,43168
151,59800,58465,59853,58532,43948,43613,43136,43046
152,59380,58066,59658,58346,43651,43357,42815,42758
153,58135,57049,58785,57720,42598,42535,41736,41906
154,56282,55513,57410,56675,40856,41137,40107,40606
155,54593,54004,56037,55556,39187,39687,38697,39341
156,52985,52439,54531,54133,38155,38636,37756,38365
157,50613,50150,51881,51625,37659,38023,37149,37647
158,46106,45809,46677,46678,37356,37577,36959,37282
159,38219,38524,38187,38784,37109,37181,37188,37252
160,30475,31218,30339,31231,36845,36851,37429,37313
161,26844,27074,26780,27044,36633,36601,37536,37353
162,25837,25440,25803,25417,36485,36402,37568,37392
163,25602,24886,25574,24855,36428,36274,37573,37429
164,25561,24739,25527,24694,36407,36253,37582,37464
165,25551,24700,25519,24671,36400,36253,37583,37467
166,25540,24690,25514,24665,36388,36232,37567,37434
167,25531,24689,25504,24653,36402,36229,37558,37385
168,25520,24679,25495,24648,36405,36229,37540,37318
169,25528,24682,25501,24630,36414,36247,37531,37259
170,25521,24677,25493,24642,36396,36241,37508,37239
171,25505,24672,25491,24648,36390,36193,37504,37229
172,25497,24671,25479,24660,36373,36119,37484,37223
173,25493,24662,25474,24644,36371,36035,37481,37217
174,25497,24671,25463,24641,36354,35990,37475,37221
175,25501,24672,25475,24640,36344,35985,37454,37199
176,25491,24676,25463,24646,36346,35968,37430,37201
177,25489,24672,25463,24663,36345,35968,37437,37178
178,25486,24678,25459,24660,36354,35976,37464,37184
179,25493,24681,25467,24644,36354,35988,37472,37187
180,25480,24682,25454,24647,36354,35965,37468,37197
181,25475,24676,25451,24643,36352,35964,37474,37206
182,25465,24660,25446,24634,36353,35967,37488,37213
183,25472,24652,25449,24639,36364,36014,37491,37217
184,25462,24654,25439,24634,36373,36152,37480,37211
185,25463,24647,25440,24638,36444,36619,37479,37223
186,25468,24659,25435,24635,36633,37778,37476,37190
187,25461,24663,25433,24634,37025,40161,37474,37187
188,25449,24650,25421,24629,37583,43624,37459,37188
189,25449,24648,25415,24610,38054,46582,37462,37163
190,25441,24633,25419,24610,38234,48085,37466,37179
191,25446,24634,25422,24619,38260,48512,37465,37243
192,25437,24652,25414,24614,38173,48163,37460,37287
193,25438,24650,25411,24605,37973,46914,37465,37297
194,25439,24647,25413,24609,37546,44321,37469,37281
195,25436,24647,25418,24631,36949,40837,37455,37283
196,25436,24639,25419,24627,36504,38050,37461,37302
197,25430,24626,25404,24611,36324,36665,37467,37286
198,25435,24626,25401,24603,36273,36146,37477,37267
199,25434,24628,25395,24604,36271,35976,37465,37275
200,25416,24630,25397,24595,36254,35897,37456,37274
201,25419,24628,25383,24598,36256,35888,37460,37260
202,25417,24623,25389,24591,36261,35890,37442,37241
203,25427,24631,25390,24587,36261,35898,37440,37230
204,25421,24636,25389,24601,36253,35889,37437,37227
205,25416,24627,25384,24594,36263,35914,37435,37204
206,25411,24615,25382,24593,36250,35924,37433,37213
207,25417,24609,25381,24578,36242,35927,37431,37216
208,25421,24611,25386,24579,36237,35928,37413,37239
209,25416,24624,25382,24575,36245,35923,37426,37226
210,25413,24616,25392,24577,36254,35948,37437,37220
211,25416,24610,25389,24589,36263,35976,37444,37212
212,25410,24615,25382,24594,36265,36006,37424,37202
213,25407,24606,25393,24597,36283,36031,37419,37196
214,25407,24607,25384,24607,36286,36055,37437,37209
215,25408,24618,25379,24593,36270,36070,37441,37211
216,25396,24615,25374,24573,36260,36081,37431,37231
217,25402,24591,25378,24565,36268,36087,37439,37246
218,25398,24588,25379,24568,36261,36075,37432,37253
219,25401,24604,25379,24578,36255,36086,37430,37230
220,25388,24612,25370,24581,36256,36099,37415,37212
221,25382,24620,25368,24592,36273,36102,37425,37202
222,25397,24627,25368,24599,36270,36088,37415,37184
223,25401,24604,25373,24583,36269,36100,37414,37173
224,25390,24593,25366,24581,36264,36114,37405,37181
225,25390,24601,25373,24572,36265,36121,37422,37206
226,25391,24607,25375,24569,36275,36148,37434,37214
227,25391,24602,25368,24571,36271,36166,37442,37190
228,25392,24596,25355,24567,36278,36146,37420,37184
229,25393,24603,25358,24558,36264,36131,37427,37162
230,25384,24588,25356,24565,36249,36126,37428,37161
231,25381,24592,25356,24580,36260,36150,37422,37156
232,25380,24609,25353,24587,36251,36148,37402,37154
233,25380,24607,25351,24574,36262,36132,37399,37147
234,25379,24595,25351,24563,36260,36108,37406,37175
235,25382,24577,25353,24557,36264,36112,37396,37163
236,25383,24558,25349,24559,36250,36136,37394,37145
237,25378,24571,25351,24559,36252,36156,37403,37150
238,25379,24579,25347,24566,36247,36139,37412,37145
239,25377,24563,25349,24560,36258,36124,37400,37158
240,25367,24578,25350,24551,36251,36108,37394,37143
241,25379,24582,25348,24549,36249,36117,37389,37141
242,25374,24585,25342,24555,36238,36117,37384,37117
243,25372,24589,25341,24555,36242,36113,37383,37099
244,25376,24581,25348,24548,36233,36123,37361,37097
245,25378,24582,25344,24557,36237,36140,37366,37103
246,25378,24583,25344,24543,36238,36144,37355,37118
247,25376,24583,25345,24546,36233,36125,37349,37112
248,25369,24589,25341,24550,36241,36137,37353,37127
249,25362,24596,25337,24548,36251,36129,37360,37146
250,25367,24572,25341,24543,36265,36109,37360,37124
251,25369,24572,25333,24548,36254,36109,37369,37118
252,25359,24584,25330,24550,36242,36103,37363,37111
253,25367,24588,25332,24551,36236,36128,37354,37088
254,25367,24582,25337,24549,36234,36112,37371,37092
255,25366,24575,25337,24542,36219,36107,37375,37104
256,25363,24572,25336,24555,36216,36092,37377,37124
257,25361,24566,25342,24568,36231,36094,37366,37117
258,25361,24574,25331,24560,36233,36100,37373,37114
259,25368,24577,25330,24557,36233,36089,37380,37127
260,25358,24579,25333,24564,36233,36090,37374,37124
261,25365,24588,25333,24554,36227,36082,37364,37115
262,25364,24584,25331,24542,36221,36090,37362,37111
263,25362,24575,25332,24538,36228,36098,37351,37094
264,25355,24568,25326,24544,36223,36096,37345,37093
265,25358,24569,25328,24543,36213,36083,37346,37112
266,25358,24561,25336,24527,36216,36068,37338,37120
267,25355,24582,25342,24527,36210,36061,37330,37091
268,25353,24573,25328,24524,36192,36055,37332,37092
269,25354,24575,25328,24526,36189,36060,37337,37091
270,25349,24575,25332,24530,36188,36073,37332,37065
271,25348,24574,25322,24527,36191,36063,37317,37059
272,25345,24567,25324,24527,36190,36061,37314,37070
273,25360,24562,25326,24528,36200,36076,37313,37074
274,25354,24556,25334,24537,36191,36060,37320,37109
275,25349,24574,25328,24527,36197,36040,37330,37100
276,25340,24574,25330,24521,36185,36047,37322,37078
277,25341,24573,25322,24541,36194,36029,37331,37078
278,25348,24571,25319,24537,36198,36035,37317,37063
279,25349,24576,25326,24540,36191,36031,37326,37081
280,25349,24575,25319,24544,36189,36039,37307,37074
281,25348,24570,25315,24539,36198,36043,37305,37067
282,25353,24562,25320,24535,36191,36040,37300,37070
283,25350,24557,25326,24538,36189,36045,37318,37065
284,25343,24549,25313,24558,36178,36039,37307,37061
285,25344,24557,25312,24557,36170,36015,37311,37051
286,25348,24567,25318,24545,36173,36005,37307,37040
287,25349,24568,25320,24534,36172,36021,37314,37034
288,25338,24555,25315,24529,36167,36030,37303,37033
289,25338,24569,25316,24520,36163,36042,37296,37048
290,25343,24561,25318,24525,36179,36015,37302,37052
291,25342,24562,25311,24532,36172,35983,37305,37055
292,25335,24565,25308,24520,36173,35976,37301,37065
293,25342,24566,25308,24528,36171,35979,37292,37044
294,25350,24567,25310,24534,36168,35992,37288,37033
295,25349,24563,25309,24533,36182,36001,37290,37028
296,25344,24569,25301,24524,36157,35992,37291,37032
297,25345,24558,25311,24529,36157,35977,37299,37030
298,25342,24557,25314,24508,36165,35986,37289,37019
299,25346,24561,25308,24512,36158,36010,37284,37012
300,25337,24559,25306,24512,36152,36002,37292,37019
301,25339,24551,25317,24524,36147,36004,37292,37017
302,25339,24559,25317,24518,36157,36004,37277,37008
303,25340,24550,25313,24520,36140,36009,37277,37005
304,25338,24543,25301,24531,36146,35989,37277,37022
305,25338,24552,25310,24543,36151,35988,37279,37020
306,25341,24556,25311,24537,36151,35988,37270,37010
307,25338,24567,25307,24542,36148,35991,37267,37008
308,25331,24559,25300,24538,36125,35990,37271,37000
309,25335,24570,25300,24528,36138,35992,37280,36999
310,25332,24569,25301,24526,36160,35996,37282,36993
311,25331,24564,25311,24519,36157,36003,37274,37011
312,25329,24566,25307,24528,36157,36009,37269,37001
313,25337,24557,25310,24529,36157,36015,37267,37014
314,25336,24557,25304,24533,36159,36008,37256,37004
315,25337,24560,25304,24531,36163,36002,37256,36990
316,25333,24555,25304,24524,36156,36011,37245,36968
317,25340,24563,25300,24531,36148,36017,37242,36963
318,25331,24558,25306,24523,36157,35998,37235,36948
319,25325,24546,25304,24524,36154,35988,37234,36933
320,25324,24541,25297,24532,36122,35983,37219,36925
321,25324,24531,25300,24532,36122,35980,37220,36926
322,25327,24564,25306,24523,36149,35967,37227,36935
323,25324,24567,25305,24524,36139,35987,37230,36958
324,25318,24559,25304,24517,36130,36001,37230,36965
325,25320,24556,25299,24505,36131,36007,37229,36979
326,25329,24543,25307,24524,36134,35988,37226,36980
327,25331,24538,25305,24521,36144,35973,37245,36991
328,25318,24530,25303,24525,36137,35988,37231,36995
329,25337,24534,25301,24524,36139,35997,37232,36984
330,25333,24542,25302,24509,36152,35995,37229,36967
331,25335,24543,25301,24503,36148,36012,37230,36978
332,25331,24544,25295,24531,36132,35997,37239,36986
333,25330,24542,25299,24535,36123,35997,37241,36993
334,25324,24553,25295,24519,36123,35972,37245,36991
335,25320,24540,25298,24505,36127,35973,37243,36995
336,25324,24546,25299,24513,36123,35970,37249,36985
337,25316,24546,25293,24504,36114,35969,37233,36977
338,25314,24542,25292,24512,36114,35955,37233,36989
339,25320,24530,25295,24508,36109,35955,37235,36979
340,25320,24543,25297,24519,36099,35946,37229,36976
341,25325,24547,25293,24526,36114,35936,37222,36988
342,25321,24555,25301,24509,36122,35944,37213,36976
343,25323,24545,25299,24506,36121,35959,37208,36982
344,25320,24545,25293,24518,36102,35966,37210,36974
345,25321,24553,25291,24515,36102,35960,37229,36989
346,25332,24557,25299,24523,36108,35976,37224,36983
347,25326,24557,25295,24529,36107,35969,37224,36961
348,25322,24539,25293,24502,36094,35959,37227,36957
349,25317,24538,25289,24502,36111,35963,37222,36951
350,25317,24546,25290,24516,36117,35948,37213,36953
351,25326,24527,25294,24514,36105,35947,37202,36945
352,25325,24543,25293,24524,36102,35937,37184,36921
353,25321,24559,25292,24518,36086,35929,37172,36894
354,25321,24559,25290,24510,36078,35919,37156,36879
355,25326,24556,25287,24515,36069,35909,37141,36879
356,25318,24536,25295,24527,36057,35888,37149,36878
357,25320,24531,25300,24525,36079,35902,37157,36887
358,25313,24539,25289,24525,36074,35902,37158,36907
359,25313,24542,25288,24516,36073,35888,37152,36902
360,25312,24544,25291,24522,36072,35889,37163,36904
361,25319,24537,25284,24518,36066,35862,37171,36898
362,25315,24532,25290,24511,36070,35832,37165,36892
363,25313,24529,25285,24502,36078,35845,37158,36894
364,25313,24531,25282,24508,36063,35829,37159,36862
365,25320,24533,25287,24512,36065,35812,37166,36863
366,25315,24533,25294,24505,36071,35811,37183,36872
367,25313,24535,25289,24503,36053,35794,37175,36862
368,25305,24539,25289,24496,36042,35788,37166,36854
369,25308,24534,25288,24514,36053,35770,37175,36856
370,25316,24526,25286,24522,36053,35764,37189,36887
371,25323,24524,25279,24529,36063,35758,37202,36905
372,25322,24540,25282,24523,36047,35761,37193,36898
373,25320,24549,25280,24525,36046,35754,37185,36897
374,25306,24549,25286,24519,36050,35760,37180,36887
375,25308,24541,25294,24511,36056,35770,37180,36886
376,25304,24530,25282,24519,36046,35763,37199,36899
377,25309,24536,25288,24525,36026,35783,37212,36901
378,25311,24528,25291,24513,36032,35792,37202,36874
379,25312,24533,25293,24514,36039,35805,37202,36859
380,25309,24550,25290,24506,36033,35796,37208,36855
381,25312,24553,25285,24499,36038,35812,37194,36813
382,25314,24555,25285,24510,36030,35839,37193,36797
383,25323,24555,25289,24513,36038,35842,37202,36832
384,25308,24540,25276,24514,36037,35830,37222,37042
385,25308,24528,25285,24520,36041,35853,37338,37705
386,25311,24521,25284,24512,36038,35839,37609,39258
387,25310,24518,25281,24504,36038,35834,38082,42200
388,25304,24534,25281,24519,36037,35843,38663,45798
389,25310,24546,25281,24525,36026,35846,39022,48396
390,25305,24538,25279,24508,36027,35841,39123,49474
391,25311,24520,25280,24514,36053,35856,39081,49455
392,25307,24531,25277,24522,36053,35859,38879,48414
393,25310,24528,25276,24538,36047,35879,38469,46010
394,25309,24542,25279,24527,36038,35874,37874,42440
395,25307,24553,25278,24523,36033,35878,37379,39341
396,25312,24565,25274,24508,36040,35890,37155,37694
397,25306,24555,25279,24503,36034,35884,37094,37031
398,25312,24550,25279,24522,36026,35854,37083,36810
399,25311,24542,25283,24523,36027,35859,37068,36743
400,25301,24523,25282,24507,36014,35853,37059,36707
401,25301,24524,25284,24508,36014,35836,37049,36671
402,25301,24542,25275,24523,36009,35827,37065,36681
403,25307,24553,25276,24499,36006,35831,37062,36721
404,25303,24544,25277,24496,35999,35834,37050,36737
405,25304,24538,25276,24499,36004,35826,37054,36754
406,25304,24533,25276,24508,36004,35831,37054,36738
407,25304,24528,25276,24518,35996,35842,37064,36743
408,25303,24548,25273,24520,36005,35857,37059,36753
409,25297,24557,25271,24514,36020,35866,37053,36770
410,25302,24539,25273,24524,36016,35839,37067,36794
411,25303,24535,25280,24513,36008,35837,37077,36792
412,25303,24524,25275,24497,35995,35843,37052,36749
413,25307,24525,25273,24491,35992,35834,37030,36709
414,25304,24508,25277,24505,36018,35830,37021,36706
415,25298,24520,25274,24515,36011,35841,37014,36724
416,25297,24541,25270,24506,36003,35846,37002,36698
417,25300,24534,25278,24503,35996,35835,37006,36698
418,25304,24532,25266,24505,36005,35844,37014,36696
419,25293,24516,25273,24515,36001,35849,37013,36708
420,25290,24528,25278,24525,35998,35838,36995,36710
421,25299,24537,25267,24511,35999,35831,37003,36713
422,25304,24538,25270,24500,35995,35820,37012,36707
423,25302,24531,25274,24508,36001,35821,37008,36722
424,25297,24541,25278,24513,35998,35834,37001,36726
425,25301,24543,25270,24494,35992,35830,37010,36746
426,25303,24526,25276,24477,35973,35810,37020,36742
427,25303,24533,25278,24483,35973,35806,37000,36740
428,25307,24533,25273,24509,35959,35800,36992,36725
429,25310,24533,25276,24508,35968,35792,36984,36725
430,25310,24530,25270,24506,35969,35806,36995,36700
431,25297,24539,25279,24511,35981,35793,36997,36694
432,25302,24544,25269,24509,35973,35780,37001,36698
433,25309,24527,25269,24504,35973,35784,36981,36695
434,25306,24522,25276,24507,35983,35795,36987,36695
435,25301,24535,25267,24511,35974,35788,36993,36707
436,25298,24536,25267,24499,35961,35788,36996,36701
437,25296,24526,25266,24508,35960,35787,36992,36699
438,25300,24523,25275,24502,35966,35772,36990,36711
439,25289,24534,25269,24495,35958,35766,36986,36717
440,25295,24531,25266,24496,35970,35770,36981,36713
441,25304,24532,25269,24500,35974,35761,36967,36689
442,25314,24523,25280,24496,35965,35760,36968,36678
443,25307,24529,25276,24503,35963,35763,36969,36668
444,25291,24530,25268,24501,35961,35770,36962,36672
445,25296,24530,25268,24497,35967,35770,36960,36673
446,25292,24527,25267,24507,35946,35756,36956,36664
447,25297,24516,25265,24517,35947,35751,36964,36677
448,25296,24517,25269,24517,35954,35751,36959,36661
449,25297,24525,25269,24514,35945,35763,36963,36659
450,25296,24523,25270,24502,35948,35744,36948,36652
451,25292,24519,25278,24479,35952,35739,36954,36671
452,25292,24518,25272,24497,35944,35722,36952,36649
453,25292,24506,25270,24489,35954,35730,36947,36655
454,25297,24526,25271,24484,35950,35729,36947,36671
455,25299,24533,25275,24482,35946,35728,36950,36662
456,25299,24532,25269,24499,35930,35718,36952,36669
457,25289,24524,25269,24493,35927,35727,36950,36660
458,25299,24523,25269,24504,35931,35729,36949,36651
459,25293,24528,25265,24504,35939,35723,36952,36652
460,25299,24515,25265,24504,35940,35724,36947,36651
461,25297,24533,25259,24485,35925,35723,36946,36660
462,25290,24536,25270,24478,35929,35738,36951,36652
463,25301,24525,25272,24481,35918,35728,36940,36655
464,25302,24535,25263,24495,35900,35707,36938,36644
465,25292,24537,25266,24497,35901,35708,36935,36637
466,25294,24538,25271,24501,35908,35699,36945,36617
467,25298,24524,25268,24505,35912,35696,36934,36622
468,25297,24515,25267,24497,35909,35692,36922,36636
469,25292,24507,25262,24484,35896,35694,36909,36611
470,25295,24517,25265,24483,35892,35685,36907,36613
471,25292,24524,25261,24468,35895,35688,36906,36612
472,25286,24505,25251,24485,35880,35700,36906,36602
473,25285,24512,25257,24492,35881,35684,36911,36610
474,25290,24520,25263,24479,35889,35704,36919,36614
475,25286,24509,25269,24476,35909,35739,36913,36602
476,25279,24519,25266,24486,35904,35716,36898,36601
477,25282,24526,25263,24503,35908,35693,36896,36590
478,25285,24504,25260,24498,35907,35709,36893,36592
479,25293,24504,25271,24500,35885,35707,36886,36602
480,25292,24531,25261,24492,35880,35697,36884,36598
481,25291,24532,25271,24486,35881,35699,36907,36605
482,25291,24542,25267,24473,35890,35701,36915,36598
483,25295,24527,25276,24489,35883,35692,36900,36603
484,25290,24524,25273,24496,35878,35691,36901,36615
485,25286,24517,25269,24505,35883,35694,36906,36625
486,25299,24512,25268,24505,35882,35689,36911,36625
487,25298,24512,25267,24496,35880,35700,36898,36603
488,25287,24512,25262,24503,35873,35683,36887,36588
489,25292,24513,25265,24503,35866,35673,36884,36584
490,25291,24523,25261,24473,35868,35659,36887,36590
491,25291,24533,25266,24492,35854,35667,36898,36598
492,25287,24527,25260,24495,35835,35667,36899,36623
493,25289,24512,25259,24490,35844,35660,36899,36624
494,25284,24514,25258,24493,35844,35663,36898,36591
495,25288,24502,25265,24482,35846,35675,36883,36589
496,25287,24509,25257,24473,35836,35668,36874,36562
497,25290,24519,25261,24487,35837,35659,36872,36535
498,25292,24513,25265,24488,35835,35666,36879,36543
499,25286,24526,25264,24478,35847,35666,36884,36553
500,25281,24543,25257,24495,35840,35673,36864,36551
501,25289,24520,25271,24502,35821,35666,36854,36536
502,25291,24523,25269,24508,35823,35641,36856,36530
503,25293,24524,25268,24507,35836,35615,36863,36534
504,25281,24525,25263,24491,35826,35612,36856,36527
505,25286,24521,25258,24484,35819,35617,36844,36503
506,25291,24507,25258,24479,35831,35607,36841,36505
507,25290,24514,25256,24487,35823,35609,36847,36513
508,25289,24511,25259,24483,35817,35633,36850,36524
509,25292,24518,25261,24498,35813,35621,36859,36526
510,25289,24514,25261,24495,35814,35618,36857,36539
511,25292,24508,25262,24491,35827,35630,36850,36525
512,25289,24531,25256,24486,35815,35605,36839,36528
513,25280,24529,25256,24486,35796,35579,36831,36533
514,25283,24530,25257,24484,35809,35583,36831,36523
515,25289,24524,25263,24484,35807,35585,36828,36519
516,25294,24531,25256,24495,35803,35571,36817,36513
517,25293,24542,25251,24490,35795,35554,36819,36517
518,25289,24540,25261,24498,35805,35551,36819,36497
519,25290,24524,25266,24499,35805,35553,36815,36510
520,25286,24502,25261,24503,35790,35542,36799,36509
521,25289,24511,25257,24494,35782,35510,36799,36479
522,25284,24516,25257,24493,35791,35497,36804,36455
523,25283,24517,25256,24483,35803,35486,36803,36481
524,25281,24510,25251,24493,35784,35483,36802,36492
525,25293,24500,25255,24498,35765,35470,36805,36499
526,25290,24510,25262,24487,35760,35461,36797,36486
527,25291,24519,25260,24484,35757,35436,36798,36472
528,25284,24524,25254,24493,35753,35410,36800,36483
529,25283,24527,25251,24493,35758,35406,36806,36487
530,25284,24541,25246,24475,35762,35402,36810,36489
531,25291,24546,25248,24489,35762,35424,36807,36498
532,25293,24533,25248,24488,35758,35451,36798,36485
533,25293,24523,25253,24470,35745,35453,36798,36475
534,25289,24524,25259,24487,35762,35470,36803,36484
