point,sr1,asr1,sr2,asr2,sr3,asr3,sr4,asr4
0,53880,65119,53824,65129,37868,55509,37106,55028
1,58277,63420,58236,63415,42317,49778,41544,49278
2,59802,61449,59774,61451,43854,46808,43087,46305
3,60022,60395,60003,60372,44090,45585,43328,45071
4,60072,59939,60060,59928,44156,45093,43378,44578
5,60026,59796,59999,59813,44117,44923,43339,44418
6,60020,59749,59992,59773,44090,44878,43335,44389
7,60020,59740,59998,59755,44093,44896,43335,44391
8,60009,59759,59996,59759,44096,44909,43334,44399
9,60018,59774,60004,59776,44100,44897,43333,44408
10,60010,59785,60006,59770,44077,44906,43327,44405
11,60009,59795,59997,59749,44083,44899,43335,44402
12,60003,59785,59989,59741,44082,44900,43327,44394
13,60005,59788,59978,59727,44075,44880,43310,44381
14,60003,59762,59975,59721,44066,44853,43298,44354
15,59968,59730,59951,59696,44055,44818,43290,44342
16,59966,59693,59936,59693,44050,44801,43284,44330
17,59961,59695,59928,59699,44044,44806,43284,44339
18,59970,59715,59938,59684,44050,44805,43268,44330
19,59970,59710,59935,59674,44049,44805,43277,44329
20,59958,59708,59923,59676,44043,44817,43273,44330
21,59980,59729,59943,59694,44051,44826,43291,44339
22,59993,59750,59965,59741,44056,44868,43314,44368
23,60013,59768,59969,59759,44073,44895,43323,44401
24,60026,59782,59994,59752,44094,44914,43353,44417
25,60046,59787,60008,59771,44104,44937,43353,44435
26,60043,59794,60019,59772,44114,44926,43368,44440
27,60037,59801,60016,59766,44095,44933,43353,44451
28,60032,59788,60009,59752,44099,44912,43337,44441
29,60009,59777,60001,59757,44098,44920,43333,44418
30,60027,59785,60008,59748,44095,44918,43339,44412
31,60037,59784,60016,59758,44102,44903,43350,44417
32,60030,59762,60011,59742,44104,44888,43340,44413
33,60033,59754,60008,59752,44111,44888,43351,44399
34,60030,59751,60010,59748,44106,44900,43337,44402
35,60042,59774,60006,59757,44107,44905,43348,44426
36,60032,59800,60003,59750,44105,44922,43356,44426
37,60049,59817,60016,59761,44117,44928,43358,44448
38,60053,59804,60031,59751,44127,44936,43346,44431
39,60043,59793,60017,59742,44131,44930,43361,44424
40,60026,59774,60001,59749,44109,44906,43331,44430
