point,sr1,asr1,sr2,asr2,sr3,asr3,sr4,asr4
121,45621,46450,42787,43766,59760,59468,59726,59437
122,45620,46424,42780,43757,59753,59451,59721,59420
123,45610,46408,42781,43737,59748,59454,59715,59435
124,45589,46425,42770,43720,59735,59460,59710,59431
125,45595,46433,42764,43726,59738,59457,59695,59432
126,45602,46414,42761,43720,59739,59433,59705,59419
127,45604,46417,42756,43719,59730,59433,59698,59418
128,45619,46414,42772,43712,59742,59448,59695,59412
129,45624,46422,42777,43718,59740,59448,59720,59410
130,45621,46418,42778,43734,59746,59453,59725,59426
131,45618,46415,42784,43720,59756,59464,59713,59431
132,45607,46408,42776,43725,59741,59463,59696,59419
133,45600,46409,42772,43713,59750,59449,59703,59415
134,45600,46409,42760,43706,59729,59448,59704,59403
135,45606,46407,42757,43710,59730,59453,59715,59413
136,45592,46400,42765,43707,59728,59453,59712,59412
137,45592,46396,42758,43722,59717,59438,59707,59423
138,45592,46395,42768,43740,59720,59426,59697,59407
139,45598,46417,42757,43749,59715,59434,59696,59417
140,45578,46406,42755,43730,59696,59419,59688,59401
141,45578,46393,42741,43703,59699,59407,59685,59400
142,45571,46385,42739,43698,59695,59403,59673,59387
143,45567,46373,42745,43700,59692,59413,59668,59400
144,45574,46372,42749,43705,59705,59431,59666,59386
145,45582,46377,42736,43698,59706,59430,59668,59386
146,45562,46330,42726,43662,59703,59380,59659,59352
147,45558,46246,42719,43577,59680,59290,59666,59269
148,45547,46062,42706,43403,59676,59115,59657,59092
149,45555,45754,42744,43092,59700,58840,59666,58801
150,45606,45482,42812,42845,59764,58599,59717,58555
151,45648,45347,42906,42774,59849,58520,59778,58439
152,45254,44993,42708,42592,59545,58244,59461,58142
153,44007,43984,41833,41948,58471,57446,58384,57286
154,42173,42449,40422,40889,56713,56053,56740,55993
155,40762,41185,39145,39818,54874,54474,55275,54703
156,40277,40668,38394,39073,52956,52619,53705,53178
157,40576,40903,38050,38626,50050,49793,51156,50784
158,41504,41601,37909,38331,44624,44603,46533,46331
159,40821,40773,37887,38099,36384,36931,38630,38948
160,37997,38207,37869,37893,29436,30177,30690,31443
161,36003,36171,37851,37798,26546,26628,26886,27148
